Market Code	Order Date	SAP Account Code	Quantity	Product Code
AT	06/02/2020	1001	0	10057
AT	04/02/2019	1001	0	10057
AT	02/01/2020	1001	0	10143
AT	16/01/2020	1001	0	10057
AT	23/01/2020	1001	0	10057
AT	30/01/2020	1001	0	10075
AT	14/01/2019	1001	0	10057
AT	17/01/2019	1001	0	10057
AT	21/01/2019	1001	0	10057
AT	24/01/2019	1001	0	10057
AT	28/01/2019	1001	0	10057
AT	31/01/2019	1001	0	10057
AT	06/01/2020	1001	0	10143
AT	13/01/2020	1001	0	10075
AT	07/02/2019	1001	0	10057
AT	11/02/2019	1001	0	10057
AT	14/02/2019	1001	0	10057
AT	18/02/2019	1001	0	10057
AT	21/02/2019	1001	0	10057
AT	25/02/2019	1001	0	10057
AT	28/02/2019	1001	0	10130
AT	06/02/2020	1001	0	10075
AT	17/02/2020	1001	0	10130
AT	04/03/2019	1001	0	10130
AT	25/03/2019	1001	0	10130
AT	02/01/2019	1001	0	10057
AT	07/01/2019	1001	0	10057
AT	10/01/2019	1001	0	10130
AT	20/01/2020	1001	0	10057
AT	27/01/2020	1001	0	10057
AT	04/02/2019	1001	0	10130
AT	10/02/2020	1001	0	10057
AT	13/02/2020	1001	0	10130
AT	09/01/2020	1001	0	10143
AT	16/01/2020	1001	0	10075
AT	23/01/2020	1001	0	10075
AT	03/02/2020	1001	0	10075
AT	20/02/2020	1001	0	10130
AT	24/02/2020	1001	0	10130
AT	27/02/2020	1001	0	10075
AT	07/03/2019	1001	0	10130
AT	11/03/2019	1001	0	10130
AT	14/03/2019	1001	0	10130
AT	18/03/2019	1001	0	10130
AT	21/03/2019	1001	0	10130
AT	28/03/2019	1001	0	10075
AT	14/01/2019	1001	0	10130
AT	17/01/2019	1001	0	10130
AT	21/01/2019	1001	0	10130
AT	24/01/2019	1001	0	10130
AT	28/01/2019	1001	0	10130
AT	31/01/2019	1001	0	10130
AT	06/01/2020	1001	0	10075
AT	07/02/2019	1001	0	10130
AT	11/02/2019	1001	0	10130
AT	14/02/2019	1001	0	10130
AT	18/02/2019	1001	0	10130
AT	21/02/2019	1001	0	10130
AT	25/02/2019	1001	0	10130
AT	28/02/2019	1001	0	10075
AT	17/02/2020	1001	0	10075
AT	04/03/2019	1001	0	10075
AT	25/03/2019	1001	0	10075
AT	02/01/2019	1001	0	10075
AT	07/01/2019	1001	0	10075
AT	20/01/2020	1001	0	10075
AT	27/01/2020	1001	0	10075
AT	10/02/2020	1001	0	10075
AT	09/01/2020	1001	0	10075
AT	20/02/2020	1001	0	10075
AT	24/02/2020	1001	0	10075
AT	07/03/2019	1001	0	10075
AT	11/03/2019	1001	0	10075
AT	14/03/2019	1001	0	10075
AT	18/03/2019	1001	0	10075
AT	21/03/2019	1001	0	10075
AT	13/03/2020	1001	0	10057
AT	26/03/2020	1001	0	10075
AT	30/03/2020	1001	0	10130
AT	05/03/2020	1001	0	10130
AT	23/03/2020	1001	0	10057
AT	02/03/2020	1001	0	10130
AT	12/03/2020	1001	0	10130
AT	16/03/2020	1001	0	10057
AT	19/03/2020	1001	0	10130
AT	09/03/2020	1001	0	10075
AT	05/03/2020	1001	0	10075
AT	23/03/2020	1001	0	10130
AT	16/03/2020	1001	0	10075
AT	06/02/2020	7000	0	10057
AT	04/02/2019	7000	0	10057
