Market Code	Order Date	SAP Account Code	Quantity	Product Code
NL	30/01/2019	1001	0	10036
NL	28/01/2020	1001	0	10123
NL	30/01/2019	1001	0	10058
NL	26/02/2019	1001	0	10058
NL	25/03/2020	1001	349.6	10123
NL	10/03/2020	1001	208.8	10036
NL	25/03/2020	1001	492	10036
NL	21/01/2019	1001	288.3	10058
NL	07/01/2020	1001	95.4	10036
NL	24/01/2020	1001	243	10123
NL	04/02/2019	1001	352	10036
NL	22/02/2019	1001	748	10036
NL	24/02/2020	1001	380.8	10123
NL	10/01/2020	1001	39.27	10036
NL	30/03/2020	1001	386.3	10123
NL	27/03/2020	3000	0	10885
NL	28/03/2020	3000	0	10886
NL	26/02/2019	1001	0	11284
NL	30/01/2019	1001	0	10036
NL	28/01/2020	1001	0	10123
NL	30/01/2019	1001	0	10058
NL	28/01/2020	1001	0	11331
NL	26/02/2019	1001	0	10058
NL	25/03/2020	1001	0	10123
NL	10/03/2020	1001	0	10036
NL	10/03/2020	1001	0	11331
NL	25/03/2020	1001	0	10036
NL	25/03/2020	1001	0	11344
NL	14/03/2019	1001	0	11345
NL	21/01/2019	1001	0	10058
NL	07/01/2020	1001	0	10036
NL	24/01/2020	1001	0	10123
NL	04/02/2019	1001	0	10036
NL	12/02/2019	1001	0	11345
NL	22/02/2019	1001	0	10036
NL	26/03/2019	1001	0	11284
NL	21/01/2019	1001	0	11284
NL	07/01/2020	1001	0	11347
NL	24/01/2020	1001	0	11331
NL	24/02/2020	1001	0	10123
NL	25/02/2020	1001	0	11347
NL	05/03/2019	1001	0	11345
NL	10/01/2020	1001	0	11331
NL	10/01/2020	1001	0	10036
NL	07/01/2020	1001	0	11284
NL	30/03/2020	1001	0	10123
