Market Code	Order Date	SAP Account Code	Quantity	Product Code
PT	02/01/2019	1001	36.7076	10023
PT	03/01/2019	1001	784	10062
PT	07/01/2019	1001	366.23756	10023
PT	10/01/2019	1001	393.5836	10059
PT	14/01/2019	1001	73.668	10023
PT	21/01/2019	1001	390.4952	10062
PT	12/02/2019	1001	560	10059
PT	04/03/2019	1001	360.68927	10062
PT	11/03/2019	1001	436	10055
PT	12/03/2019	1001	388.58	10055
PT	21/03/2019	1001	239.6332	10055
PT	28/03/2019	1001	396.7392	10023
PT	15/01/2019	1001	3232.8	10062
PT	24/01/2019	1001	396.96	10059
PT	29/01/2019	1001	235.5936	10023
PT	31/01/2019	1001	638	10059
PT	31/01/2019	1001	453	10062
PT	04/02/2019	1001	329.232	10059
PT	11/02/2019	1001	387.3472	10023
PT	14/02/2019	1001	304.55984	10062
PT	25/02/2019	1001	57.5552	10059
PT	28/02/2019	1001	302.8874	10059
PT	05/03/2019	1001	80.9436	10055
PT	25/03/2019	1001	393.05	10059
PT	26/03/2019	1001	372.5736	10059
PT	08/01/2019	1001	267.7752	10060
PT	22/01/2019	1001	68.6336	10060
PT	07/02/2019	1001	374.8552	10060
PT	18/02/2019	1001	48.576	10060
PT	26/02/2019	1001	5.95	10060
PT	19/03/2019	1001	229.3652	10060
PT	02/01/2019	1001	359.97696	10060
PT	14/01/2019	1001	88.4304	10060
PT	12/03/2019	1001	284.2248	10060
PT	21/03/2019	1001	2.7864	10060
PT	05/02/2019	1001	302.7874	10023
PT	21/02/2019	1001	349.8	10023
PT	07/03/2019	1001	90.252	10062
PT	14/03/2019	1001	3203.672	10055
PT	18/03/2019	1001	399.34464	10055
PT	03/01/2019	1001	234.876	10023
PT	10/01/2019	1001	654.9	10023
PT	21/01/2019	1001	380.6496	10023
PT	12/02/2019	1001	227.4424	10023
PT	19/02/2019	1001	377.3	10199
PT	04/03/2019	1001	648	10055
PT	12/03/2019	1001	23	10199
PT	29/01/2019	1001	96.4896	10121
PT	05/03/2019	1001	92.736	10132
PT	08/01/2019	1001	328.68	10121
PT	22/01/2019	1001	393.752	10122
PT	07/02/2019	1001	386.43948	10121
PT	18/02/2019	1001	356.9796	10121
PT	26/02/2019	1001	89.93	10121
PT	19/03/2019	1001	39.024	10132
PT	15/01/2019	1001	567.45	10060
PT	24/01/2019	1001	393.5	10060
PT	04/02/2019	1001	959.4	10060
PT	14/02/2019	1001	387	10060
PT	25/02/2019	1001	487.2	10060
PT	28/02/2019	1001	530.3	10060
PT	26/03/2019	1001	639.3	10060
PT	17/01/2019	1001	38.645	10060
PT	28/01/2019	1001	690.3	10060
PT	05/02/2019	1001	438	10060
PT	19/02/2019	1001	560	10060
PT	14/03/2019	1001	627	10060
PT	24/01/2019	1001	933.2	10199
PT	25/03/2019	1001	650	10055
PT	07/03/2019	1001	700.948	10055
PT	05/03/2019	1001	733.3	10199
PT	28/03/2019	1001	325.2576	10199
PT	07/01/2019	1001	365.8	10166
PT	21/01/2019	1001	342	10166
PT	04/03/2019	1001	360.8	10122
PT	11/03/2019	1001	3265.9788	10166
PT	12/03/2019	1001	345.6	10132
PT	21/03/2019	1001	38.36	10132
PT	28/03/2019	1001	459	10121
PT	15/01/2019	1001	844.9	10121
PT	14/02/2019	1001	768	10121
PT	25/02/2019	1001	23.328	10122
PT	28/02/2019	1001	32.4696	10166
PT	26/03/2019	1001	640.2	10121
PT	03/01/2019	1001	665.6	10060
PT	10/01/2019	1001	933.5	10060
PT	12/02/2019	1001	392.2	10060
PT	31/01/2019	1001	366.3	10060
PT	25/03/2019	1001	555.587	10060
PT	18/02/2019	1001	393.6	10199
PT	21/02/2019	1001	726	10199
